X,Y,Elevation,BA,Commodity,Fold Type,Fault Type,Age,Super Group,Group Name,Formation,Lithology,Intrusive,SiO2,Al2O3,Fe2O3,TiO2,CaO,MgO,MnO,Na2O,K2O,P2O5,LOI,Ba_ppm,Ga_ppm,Sc_ppm,V_ppm,Th_ppm,Pb_ppm,Ni_ppm,Co_ppm,Rb_ppm,Sr_ppm,Cr_ppm,Cu_ppm,Zn_ppm
76.6726,14.9888,0,0,,SYNFORM,,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.6957,15.2044,0,0,,,,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.8106,15.0934,0,0,IRON,SYNCLINE,,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED HEMATITE QUARTZITE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.3777,14.1997,758,-90,,,,ARCHAEAN,,,,GREY GRANITE,ACID  INTRUSIVE,60.67,16.6,5.02,0.66,2.09,0.87,0.08,1.09,2.65,0.12,0,409.6,20.9,13.4,79.1,12,29.7,34.7,14.6,142.1,106,66.7,30.8,37.8
76.5663,14.125,684,-72,,,,ARCHAEAN,DHARWAR,CHITRADURGA,HIRIYUR,META-BASALT,,58.16,13.822,6.1,0.83,5.81,2.05,0.12,0.59,1.08,0.1,10.447463,346.6,9.5,17.5,110.3,7.6,11,64.9,24.6,43.4,154.6,109.9,37,40.9
76.6316,14.0037,684,-72,,,THRUST,ARCHAEAN,DHARWAR,CHITRADURGA,HIRIYUR,META-BASALT,,58.16,13.822,6.1,0.83,5.81,2.05,0.12,0.59,1.08,0.1,10.447463,346.6,9.5,17.5,110.3,7.6,11,64.9,24.6,43.4,154.6,109.9,37,40.9
76.6295,14.0162,684,-72,,ANTICLINE (PLUNGING),,ARCHAEAN,DHARWAR,CHITRADURGA,HIRIYUR,META-BASALT,,58.16,13.822,6.1,0.83,5.81,2.05,0.12,0.59,1.08,0.1,10.447463,346.6,9.5,17.5,110.3,7.6,11,64.9,24.6,43.4,154.6,109.9,37,40.9
76.6333,14.0073,684,-72,,ANTICLINE (PLUNGING),THRUST,ARCHAEAN,DHARWAR,CHITRADURGA,HIRIYUR,META-BASALT,,58.16,13.822,6.1,0.83,5.81,2.05,0.12,0.59,1.08,0.1,10.447463,346.6,9.5,17.5,110.3,7.6,11,64.9,24.6,43.4,154.6,109.9,37,40.9
76.4336,15.1694,556,-54,MANGANESE,,,ARCHAEAN,DHARWAR,SANDUR,NANDIHALLI,META-BASALT,,37.62,11.31,34.67,1.21,1.88,1.53,0.3,0.58,0.52,0.11,0,189.2,15.4,20.9,173.5,2,11.3,91.9,31.3,40.1,31,258.4,101.3,42.4
76.4966,15.0931,556,-54,MANGANESE,SYNCLINE,,ARCHAEAN,DHARWAR,SANDUR,NANDIHALLI,META-BASALT,,37.62,11.31,34.67,1.21,1.88,1.53,0.3,0.58,0.52,0.11,0,189.2,15.4,20.9,173.5,2,11.3,91.9,31.3,40.1,31,258.4,101.3,42.4
76.4355,15.17,556,-54,MANGANESE,SYNCLINE,,ARCHAEAN,DHARWAR,SANDUR,NANDIHALLI,META-BASALT,,37.62,11.31,34.67,1.21,1.88,1.53,0.3,0.58,0.52,0.11,0,189.2,15.4,20.9,173.5,2,11.3,91.9,31.3,40.1,31,258.4,101.3,42.4
76.3631,15.2455,556,-54,MANGANESE,ANTICLINE (PLUNGING),,ARCHAEAN,DHARWAR,SANDUR,NANDIHALLI,META-BASALT,,37.62,11.31,34.67,1.21,1.88,1.53,0.3,0.58,0.52,0.11,0,189.2,15.4,20.9,173.5,2,11.3,91.9,31.3,40.1,31,258.4,101.3,42.4
76.1258,15.125,509,-79,,,,ARCHAEAN,PENINSULAR GNEISSIC COMPLEX,PENINSULAR GNEISSIC COMPLEX-I,,BIOTITE GNEISS,,48.49,12.25,5.45,0.74,12.04,2.46,0.13,0.42,0.9,0.08,16.523011,552.9,9,23.3,100.6,5.7,16,47.9,21.4,50,179.3,63.2,47,32.5
76.375,14.875,628,-86,,,,ARCHAEAN,PENINSULAR GNEISSIC COMPLEX,PENINSULAR GNEISSIC COMPLEX-I,,MIGMATITE GNEISS,,53.37,19.81,6.75,0.61,1.45,0.91,0.11,1.25,2.27,0.07,12.37,498,23,18,104,13,30,56,16,141,169,132,33,46
76.9591,13.75,0,0,,,,ARCHAEAN,PENINSULAR GNEISSIC COMPLEX,PENINSULAR GNEISSIC COMPLEX-I,,MIGMATITE GNEISS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.875,14.375,548,-72,,,,ARCHAEAN,PENINSULAR GNEISSIC COMPLEX,PENINSULAR GNEISSIC COMPLEX-I,,MIGMATITE GNEISS,,65.62,16.79,4.24,0.51,2.06,0.91,0.09,1.87,1.97,0.08,0,327.9,8.6,9.9,57.3,9.6,17.8,32.3,8.7,70.6,176,57.5,17.9,26.7
76.1258,13.875,745,-104,,,,ARCHAEAN,PENINSULAR GNEISSIC COMPLEX,PENINSULAR GNEISSIC COMPLEX-I,,MIGMATITE GNEISS,,65.2,12.78,5.09,0.88,3.16,2.26,0.14,0.65,0.72,0.09,0,364,20,13,90,6.5977,20,72,24,41.2034,147,160,39,46
77.6117,14.4597,0,0,,,,ARCHAEAN,DHARWAR,RAMAGIRI-PENAKACHERLA,,AMPHIBOLITE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.625,15.625,399,-96,TALC,,,ARCHAEAN- PALAEOPROTEROZOIC,,,CLOSEPET,GREY GRANITE,CLOSEPET GRANITE,59.56,15.09,2.79,0.41,5.99,0.82,0.04,1.74,2.76,0.15,0,536.8,18.3,12.5,46.9,6.8,13.6,19,6.2,104.6,265.4,62,16.2,19.2
76.7334,15.6039,399,-96,TALC,ANTICLINE (PLUNGING),,ARCHAEAN- PALAEOPROTEROZOIC,,,CLOSEPET,GREY GRANITE,CLOSEPET GRANITE,59.56,15.09,2.79,0.41,5.99,0.82,0.04,1.74,2.76,0.15,0,536.8,18.3,12.5,46.9,6.8,13.6,19,6.2,104.6,265.4,62,16.2,19.2
76.7421,15.6107,399,-96,TALC,ANTICLINE (PLUNGING),,ARCHAEAN- PALAEOPROTEROZOIC,,,CLOSEPET,GREY GRANITE,CLOSEPET GRANITE,59.56,15.09,2.79,0.41,5.99,0.82,0.04,1.74,2.76,0.15,0,536.8,18.3,12.5,46.9,6.8,13.6,19,6.2,104.6,265.4,62,16.2,19.2
76.3335,15.75,0,0,,,,ARCHAEAN- PALAEOPROTEROZOIC,,,CLOSEPET,GREY GRANITE,CLOSEPET GRANITE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77.682,15.1964,445,-103,,,,ARCHAEAN- PALAEOPROTEROZOIC,PENINSULAR GNEISSIC COMPLEX,PENINSULAR GNEISSIC COMPLEX-II,,GREY HORNBLENDE BIOTITE GNEISS,,70.05,13.11,2.26,0.35,1,0.56,0.04,3.09,4.9,0.1,3.86,761.5,14.76,6.1,31.4,13.53,25.7,12.5,5.63,235.7,231.9,29,8.5,21.9
76.0938,14.2911,0,0,,,,ARCHAEAN,DHARWAR,CHITRADURGA,VANIVILAS,CHLORITE SCHIST,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.7563,15.5816,0,0,,,,ARCHAEAN,DHARWAR,HUNGUND-KUSHTAGI,MUDENUR,BANDED IRON FORMATION,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.7576,13.8232,0,0,,,,ARCHAEAN,DHARWAR,BABABUDAN,JAVAGONDANAHALLI,BANDED IRON FORMATION,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.9406,15.352,0,0,,,,ARCHAEAN,DHARWAR,HUNGUND-KUSHTAGI,MUDENUR,BANDED IRON FORMATION,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.7523,13.8519,0,0,,,,ARCHAEAN,DHARWAR,BABABUDAN,JAVAGONDANAHALLI,BANDED IRON FORMATION,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77.2154,14.3205,0,0,,,,ARCHAEAN,DHARWAR,RAMAGIRI-PENAKACHERLA,,BANDED IRON FORMATION,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.1394,14.3347,0,0,,,,ARCHAEAN,DHARWAR,BABABUDAN,KIBBANAHALLI,QUARTZITE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.2291,14.5547,0,0,,,,ARCHAEAN,DHARWAR,BABABUDAN,KIBBANAHALLI,BANDED MAGNETITE QUARTZITE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.7787,15.5623,0,0,,,,ARCHAEAN,DHARWAR,HUNGUND-KUSHTAGI,MUDENUR,BANDED IRON FORMATION,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.2517,15.5728,0,0,,,,PALAEOPROTEROZOIC,,,,DOLERITE,BASIC INTRUSIVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77.7418,15.4231,0,0,,,,PALAEOPROTEROZOIC,,,,DOLERITE,BASIC INTRUSIVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77.5313,14.521,0,0,,,,PALAEOPROTEROZOIC,,,,DOLERITE,BASIC INTRUSIVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.5816,15.75,435,-93,,,,ARCHAEAN- PALAEOPROTEROZOIC,PENINSULAR GNEISSIC COMPLEX,PENINSULAR GNEISSIC COMPLEX-II,,BIOTITE GNEISS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77.5905,14.7964,0,0,,,,PALAEOPROTEROZOIC,,,,DOLERITE,BASIC INTRUSIVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.9164,15.3812,405,-83,GOLD,,,ARCHAEAN- PALAEOPROTEROZOIC,PENINSULAR GNEISSIC COMPLEX,PENINSULAR GNEISSIC COMPLEX-II,,GREY HORNBLENDE BIOTITE GNEISS,,53.46,9.67,4.77,0.72,8.64,2.63,0.12,0.41,0.81,0.22,0,386,14,10,99,7,12,55,14,58,231,95,31,49
77.6771,14.375,443,-91,,,,ARCHAEAN- PALAEOPROTEROZOIC,PENINSULAR GNEISSIC COMPLEX,PENINSULAR GNEISSIC COMPLEX-II,,GREY HORNBLENDE BIOTITE GNEISS,,61.921,14.606,4.51,0.05,2.28,3.24,1.52,2.46,0.61,0.13,8.148,826.5,11.3,11.1,72.5,16.6,12.4,24.8,11.4,74.2,375.7,49.9,23.2,32
77.6199,14.4941,443,-91,,SUPERPOSED FOLD (TYPE 1),,ARCHAEAN- PALAEOPROTEROZOIC,PENINSULAR GNEISSIC COMPLEX,PENINSULAR GNEISSIC COMPLEX-II,,GREY HORNBLENDE BIOTITE GNEISS,,61.921,14.606,4.51,0.05,2.28,3.24,1.52,2.46,0.61,0.13,8.148,826.5,11.3,11.1,72.5,16.6,12.4,24.8,11.4,74.2,375.7,49.9,23.2,32
77.1872,14.3042,0,0,,,,PALAEOPROTEROZOIC,,,,DOLERITE,BASIC INTRUSIVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77.6797,15.1608,0,0,,,,PALAEOPROTEROZOIC,,,,DOLERITE,BASIC INTRUSIVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77.7264,15.3961,0,0,,,,PALAEOPROTEROZOIC,,,,DOLERITE,BASIC INTRUSIVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77.6975,15.3376,0,0,,,,PALAEOPROTEROZOIC,,,,DOLERITE,BASIC INTRUSIVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77.2447,14.6372,0,0,,,,PALAEOPROTEROZOIC,,,,DOLERITE,BASIC INTRUSIVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.3651,14.8921,0,0,,,,ARCHAEAN,,SARGUR,GHATTIHOSAHALLI,BANDED MAGNETITE QUARTZITE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.4046,14.5828,0,0,,,,ARCHAEAN,,SARGUR,GHATTIHOSAHALLI,BANDED MAGNETITE QUARTZITE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.5809,14.4447,0,0,,,,ARCHAEAN,,SARGUR,GHATTIHOSAHALLI,AMPHIBOLITE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.4875,15.0118,0,0,,,,PALAEOPROTEROZOIC,,,,DOLERITE,BASIC INTRUSIVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.2145,14.0657,0,0,,,,PALAEOPROTEROZOIC,,,,DOLERITE,BASIC INTRUSIVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.8816,15.5836,0,0,,,,PALAEOPROTEROZOIC,,,,DOLERITE,BASIC INTRUSIVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.4056,14.5827,0,0,,,,ARCHAEAN,,SARGUR,GHATTIHOSAHALLI,QUARTZITE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77.7319,15.1009,0,0,,,,PALAEOPROTEROZOIC,,,,DOLERITE,BASIC INTRUSIVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77.7245,14.282,0,0,,,,PALAEOPROTEROZOIC,,,,DOLERITE,BASIC INTRUSIVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.1554,14.2507,0,0,,SYNFORM,,PALAEOPROTEROZOIC,,,,DOLERITE,BASIC INTRUSIVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77.5691,14.8699,0,0,,,,ARCHAEAN,DHARWAR,RAMAGIRI-PENAKACHERLA,,AMPHIBOLITE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77.645,14.2762,0,0,,,,PALAEOPROTEROZOIC,,,,DOLERITE,BASIC INTRUSIVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.0187,14.7489,0,0,,,,PALAEOPROTEROZOIC,,,,DOLERITE,BASIC INTRUSIVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77.7254,15.2623,0,0,,,,PALAEOPROTEROZOIC,,,,DOLERITE,BASIC INTRUSIVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77.2323,14.6779,0,0,,,,PALAEOPROTEROZOIC,,,,DOLERITE,BASIC INTRUSIVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77.6696,15.2871,0,0,,,,PALAEOPROTEROZOIC,,,,DOLERITE,BASIC INTRUSIVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77.3381,14.4321,0,0,,,,PALAEOPROTEROZOIC,,,,DOLERITE,BASIC INTRUSIVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77.5378,15.0877,0,0,,,,PALAEOPROTEROZOIC,,,,DOLERITE,BASIC INTRUSIVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77.2349,14.631,0,0,,,,PALAEOPROTEROZOIC,,,,DOLERITE,BASIC INTRUSIVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77.0791,14.5682,0,0,,,,PALAEOPROTEROZOIC,,,,DOLERITE,BASIC INTRUSIVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.4632,15.4958,0,0,,,,PALAEOPROTEROZOIC,,,,DOLERITE,BASIC INTRUSIVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77.5622,14.25,0,0,,,,ARCHAEAN,DHARWAR,RAMAGIRI-PENAKACHERLA,,AMPHIBOLITE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77.5398,14.25,0,0,,SUPERPOSED FOLD (TYPE 1),,ARCHAEAN,DHARWAR,RAMAGIRI-PENAKACHERLA,,AMPHIBOLITE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.4062,13.9949,0,0,,,,ARCHAEAN,DHARWAR,CHITRADURGA,HIRIYUR,DOLOMITE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.431,13.9399,0,0,,,,ARCHAEAN,DHARWAR,CHITRADURGA,VANIVILAS,DOLOMITE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77.1621,14.3928,0,0,,,,ARCHAEAN,DHARWAR,RAMAGIRI-PENAKACHERLA,,AMPHIBOLITE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77.575,14.4343,0,0,,,,ARCHAEAN,DHARWAR,RAMAGIRI-PENAKACHERLA,,AMPHIBOLITE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.1462,15.2852,0,0,,,,PALAEOPROTEROZOIC,,,,DOLERITE,BASIC INTRUSIVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.4739,15.0238,0,0,,,,PALAEOPROTEROZOIC,,,,DOLERITE,BASIC INTRUSIVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.2156,14.1143,0,0,,,,ARCHAEAN,DHARWAR,CHITRADURGA,VANIVILAS,DOLOMITIC LIMESTONE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.2057,14.1102,0,0,,,,ARCHAEAN,,SARGUR,GHATTIHOSAHALLI,AMPHIBOLITE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.2152,14.067,0,0,,,,ARCHAEAN,,,,GREY GRANITE,ACID  INTRUSIVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77.69,15.2707,0,0,,,,PALAEOPROTEROZOIC,,,,DOLERITE,BASIC INTRUSIVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77.4647,15.2493,0,0,,,,PALAEOPROTEROZOIC,,,,DOLERITE,BASIC INTRUSIVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.4305,13.75,0,0,,,,ARCHAEAN,DHARWAR,CHITRADURGA,VANIVILAS,LIMESTONE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77.625,15.375,466,-94,,,,ARCHAEAN- PALAEOPROTEROZOIC,PENINSULAR GNEISSIC COMPLEX,PENINSULAR GNEISSIC COMPLEX-II,,GREY HORNBLENDE BIOTITE GRANITE,,76.72,10.82,2.25,0.34,0.66725,0.43,0.01,0.96,4.16,0.04,2.81,339.4,11.3,3.6,23.7,31.7,14,13.6,2.9,160.6,145.6,41.9,12.2,17.1
76.4115,14.5415,0,0,,,,PALAEOPROTEROZOIC,,,,PEGMATITE,ACID  INTRUSIVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.4161,14.5767,0,0,,,,PALAEOPROTEROZOIC,,,,PEGMATITE,ACID  INTRUSIVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.198,14.618,0,0,,,,PALAEOPROTEROZOIC,,,,QUARTZ VEIN/REEF,ACID  INTRUSIVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77.2871,14.3869,0,0,,,,PALAEOPROTEROZOIC,,,,DOLERITE,BASIC INTRUSIVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77.1962,14.2613,0,0,,,,PALAEOPROTEROZOIC,,,,DOLERITE,BASIC INTRUSIVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.3807,14.9385,0,0,,,,PALAEOPROTEROZOIC,,,,DOLERITE,BASIC INTRUSIVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.8279,15.7426,0,0,,,,PALAEOPROTEROZOIC,,,,DOLERITE,BASIC INTRUSIVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.99,15.5077,0,0,,,,PALAEOPROTEROZOIC,,,,QUARTZ VEIN/REEF,ACID  INTRUSIVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.1139,14.3228,0,0,,,,PALAEOPROTEROZOIC,,,,DOLERITE,BASIC INTRUSIVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77.4159,15.4685,0,0,,,,PALAEOPROTEROZOIC,,,,DOLERITE,BASIC INTRUSIVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.0441,14.4421,0,0,,,,PALAEOPROTEROZOIC,,,,DOLERITE,BASIC INTRUSIVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.2439,14.0094,0,0,,,,PALAEOPROTEROZOIC,,,,DOLERITE,BASIC INTRUSIVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77.0047,14.6502,0,0,,,,PALAEOPROTEROZOIC,,,,DOLERITE,BASIC INTRUSIVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77.6827,15.2713,0,0,,,,PALAEOPROTEROZOIC,,,,DOLERITE,BASIC INTRUSIVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.5837,14.418,0,0,,,,ARCHAEAN,,SARGUR,GHATTIHOSAHALLI,AMPHIBOLITE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.4178,14.9048,0,0,,,,PALAEOPROTEROZOIC,,,,DOLERITE,BASIC INTRUSIVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77.495,14.3083,0,0,,,,PALAEOPROTEROZOIC,,,,DOLERITE,BASIC INTRUSIVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77.5,14.7963,0,0,,,,PALAEOPROTEROZOIC,,,,DOLERITE,BASIC INTRUSIVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77.0312,14.5085,0,0,,,,PALAEOPROTEROZOIC,,,,DOLERITE,BASIC INTRUSIVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77.7323,15.348,0,0,,,,PALAEOPROTEROZOIC,,,,DOLERITE,BASIC INTRUSIVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77.6579,14.6607,0,0,,,,PALAEOPROTEROZOIC,,,,DOLERITE,BASIC INTRUSIVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77.4201,14.433,0,0,,,,PALAEOPROTEROZOIC,,,,DOLERITE,BASIC INTRUSIVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
